Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
102,Karn Sharma,RCB,9,3,0,31,20,10.33,15,206.66,0,0,2,3,https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png?v=4
103,Rasikh Salam,DC,8,4,0,28,10,7.00,30,93.33,0,0,4,0,https://scores.iplt20.com/ipl/playerimages/Rasikh%20Salam.png?v=4
104,Kane Williamson,GT,2,2,0,27,26,13.50,27,100.00,0,0,4,0,https://scores.iplt20.com/ipl/playerimages/Kane%20Williamson.png?v=4
105,Harpreet Bhatia,PBKS,2,2,0,27,14,13.50,34,79.41,0,0,2,0,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Bhatia.png?v=4
106,Suyash S Prabhudessai,RCB,1,1,0,24,24,24.00,18,133.33,0,0,3,0,https://scores.iplt20.com/ipl/playerimages/Suyash%20S%20Prabhudessai.png?v=4
107,Jaydev Unadkat,SRH,11,5,2,24,8*,8.00,26,92.30,0,0,2,1,https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png?v=4
108,Tanush Kotian,RR,1,1,0,24,24,24.00,31,77.41,0,0,3,0,https://scores.iplt20.com/ipl/playerimages/Tanush%20Kotian.png?v=4
109,Bhuvneshwar Kumar,SRH,16,5,2,23,13,7.67,29,79.31,0,0,3,0,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png?v=4
110,Yudhvir Singh,LSG,2,2,0,21,14,10.50,14,150.00,0,0,1,2,https://scores.iplt20.com/ipl/playerimages/Yudhvir%20Singh.png?v=4
111,Rahul Chahar,PBKS,9,2,1,21,16,21.00,15,140.00,0,0,3,1,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png?v=4
112,Shardul Thakur,CSK,9,3,2,21,17,21.00,17,123.52,0,0,2,1,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png?v=4
113,Ashton Turner,LSG,2,2,0,21,16,10.50,18,116.66,0,0,0,2,https://scores.iplt20.com/ipl/playerimages/Ashton%20Turner.png?v=4
114,Kagiso Rabada,PBKS,11,3,2,20,11*,20.00,14,142.85,0,0,0,2,https://scores.iplt20.com/ipl/playerimages/Kagiso%20Rabada.png?v=4
115,Gulbadin Naib,DC,2,1,0,19,19,19.00,15,126.66,0,0,1,1,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=4
116,Marco Jansen,SRH,3,2,1,18,17,18.00,13,138.46,0,0,1,1,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png?v=4
117,Saurav Chauhan,RCB,3,3,0,18,9,6.00,15,120.00,0,0,1,1,https://scores.iplt20.com/ipl/playerimages/Saurav%20Chauhan.png?v=4
